Start Date;Start Time;End Date;End Time;EAN;Meter Nr;Metertype;Register;Volume;Unit;Validation Status
21-01-2025;12:45:00;21-01-2025;13:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.043;kWh;Validated
21-01-2025;13:00:00;21-01-2025;13:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;13:00:00;21-01-2025;13:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.037;kWh;Validated
21-01-2025;13:15:00;21-01-2025;13:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;13:15:00;21-01-2025;13:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.025;kWh;Validated
21-01-2025;13:30:00;21-01-2025;13:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;13:30:00;21-01-2025;13:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.03;kWh;Validated
21-01-2025;13:45:00;21-01-2025;14:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;13:45:00;21-01-2025;14:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.023;kWh;Validated
21-01-2025;14:00:00;21-01-2025;14:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;14:00:00;21-01-2025;14:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.105;kWh;Validated
21-01-2025;14:15:00;21-01-2025;14:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;14:15:00;21-01-2025;14:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.029;kWh;Validated
21-01-2025;14:30:00;21-01-2025;14:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
